feature,lld_base,lld_category,lld_description,functional,functional_description,processing,processing_description
mfcc_sma_de[7]_lpc0,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,lpc0,Output of LP coefficient 0,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_lpc1,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,lpc1,Output of LP coefficient 1,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_lpc2,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,lpc2,Output of LP coefficient 2,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_lpc3,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,lpc3,Output of LP coefficient 3,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_lpc4,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,lpc4,Output of LP coefficient 4,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma[7]_amean,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,amean,Output of arithmetic mean,['sma'],['Smoothing']
mfcc_sma[7]_flatness,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,flatness,Output of contour flatness (ratio of geometric mean and absolute value arithmetic mean(absmean))),['sma'],['Smoothing']
mfcc_sma[7]_rqmean,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,rqmean,Output of square root of quadratic mean,['sma'],['Smoothing']
mfcc_sma[7]_meanPeakDist,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,meanPeakDist,"Output of mean distance between peaks (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
mfcc_sma[7]_peakDistStddev,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,peakDistStddev,Output of standard deviation of inter peak distances,['sma'],['Smoothing']
mfcc_sma[7]_peakRangeAbs,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,peakRangeAbs,Output of peak range (max peak value - min peak value),['sma'],['Smoothing']
mfcc_sma[7]_peakRangeRel,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,peakRangeRel,Output of peak range (max peak value - min peak value) / arithmetic mean,['sma'],['Smoothing']
mfcc_sma[7]_peakMeanAbs,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,peakMeanAbs,Output of arithmetic mean of peaks (local maxima),['sma'],['Smoothing']
mfcc_sma[7]_peakMeanMeanDist,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,peakMeanMeanDist,Output of arithmetic mean of peaks - arithmetic mean of all values (mean of peaks to signal mean distance),['sma'],['Smoothing']
mfcc_sma[7]_peakMeanRel,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,peakMeanRel,Output of arithmetic mean of peaks (local maxima) / arithmetic mean of all values (mean of peaks to signal mean ratio ~ peakMeanMeanRatio),['sma'],['Smoothing']
mfcc_sma[7]_minRangeRel,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,minRangeRel,Output of local minima range (max minimum value - min minimum value) / arithmetic mean,['sma'],['Smoothing']
mfcc_sma[7]_meanRisingSlope,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,meanRisingSlope,Output of the mean of the rising slopes (rising slope is the slope of the line connecting a local minimum (or the beginning of input sample) with the following local maximum/peak or the end of input sample),['sma'],['Smoothing']
mfcc_sma[7]_stddevRisingSlope,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,stddevRisingSlope,Output of the standard deviation of the rising slopes,['sma'],['Smoothing']
mfcc_sma[7]_meanFallingSlope,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,meanFallingSlope,Output of the mean of the falling slopes (falling slope is the slope of the line connecting a local maximum/peak (or the beginning of input sample) with the following local minimum (or the end of input sample)),['sma'],['Smoothing']
mfcc_sma[7]_stddevFallingSlope,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,stddevFallingSlope,Output of the standard deviation of the falling slopes,['sma'],['Smoothing']
mfcc_sma[7]_linregc1,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,linregc1,Output of slope m (linear regression line),['sma'],['Smoothing']
mfcc_sma[7]_linregc2,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,linregc2,Output of offset t (linear regression line),['sma'],['Smoothing']
mfcc_sma[7]_linregerrQ,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,linregerrQ,Output of quadratic error between contour and linear regression line,['sma'],['Smoothing']
mfcc_sma[7]_qregc1,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,qregc1,Output of quadratic regression coefficient 1 (a),['sma'],['Smoothing']
mfcc_sma[7]_qregc2,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,qregc2,Output of quadratic regression coefficient 2 (b),['sma'],['Smoothing']
mfcc_sma[7]_qregc3,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,qregc3,Output of quadratic regression coefficient 3 (c = offset),['sma'],['Smoothing']
mfcc_sma[7]_qregerrQ,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,qregerrQ,Output of quadratic error between contour and quadratic regression line (parabola),['sma'],['Smoothing']
mfcc_sma[7]_centroid,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,centroid,Output of centroid of contour (this is computed as a by-product of the regression coefficients).,['sma'],['Smoothing']
mfcc_sma_de[7]_flatness,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,flatness,Output of contour flatness (ratio of geometric mean and absolute value arithmetic mean(absmean))),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_posamean,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,posamean,Output of arithmetic mean of positive values only (usually you would apply this to a differential signal to measure how much the original signal is rising),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_rqmean,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,rqmean,Output of square root of quadratic mean,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_meanPeakDist,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,meanPeakDist,"Output of mean distance between peaks (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_peakDistStddev,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,peakDistStddev,Output of standard deviation of inter peak distances,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_peakRangeAbs,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,peakRangeAbs,Output of peak range (max peak value - min peak value),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_peakRangeRel,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,peakRangeRel,Output of peak range (max peak value - min peak value) / arithmetic mean,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_peakMeanAbs,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,peakMeanAbs,Output of arithmetic mean of peaks (local maxima),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_peakMeanMeanDist,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,peakMeanMeanDist,Output of arithmetic mean of peaks - arithmetic mean of all values (mean of peaks to signal mean distance),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_peakMeanRel,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,peakMeanRel,Output of arithmetic mean of peaks (local maxima) / arithmetic mean of all values (mean of peaks to signal mean ratio ~ peakMeanMeanRatio),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_minRangeRel,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,minRangeRel,Output of local minima range (max minimum value - min minimum value) / arithmetic mean,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_meanRisingSlope,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,meanRisingSlope,Output of the mean of the rising slopes (rising slope is the slope of the line connecting a local minimum (or the beginning of input sample) with the following local maximum/peak or the end of input sample),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_stddevRisingSlope,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,stddevRisingSlope,Output of the standard deviation of the rising slopes,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_meanFallingSlope,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,meanFallingSlope,Output of the mean of the falling slopes (falling slope is the slope of the line connecting a local maximum/peak (or the beginning of input sample) with the following local minimum (or the end of input sample)),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[7]_stddevFallingSlope,mfcc_sma[7],Cepstral,Mel-Frequency cepstral coefficient 7,stddevFallingSlope,Output of the standard deviation of the falling slopes,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma[8]_range,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,range,Output of range (max-min),['sma'],['Smoothing']
mfcc_sma[8]_maxPos,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,maxPos,"Output of position of maximum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
mfcc_sma[8]_minPos,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,minPos,"Output of position of minimum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
mfcc_sma[8]_quartile1,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,quartile1,Output of quartile1 (0.25),['sma'],['Smoothing']
mfcc_sma[8]_quartile2,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,quartile2,Output of quartile2 (0.50),['sma'],['Smoothing']
mfcc_sma[8]_quartile3,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,quartile3,Output of quartile3 (0.75),['sma'],['Smoothing']
mfcc_sma[8]_iqr1-2,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,iqr1-2,Output of inter-quartile range 1-2 (quartile2-quartile1),['sma'],['Smoothing']
mfcc_sma[8]_iqr2-3,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,iqr2-3,Output of inter-quartile range 2-3 (quartile3-quartile2),['sma'],['Smoothing']
mfcc_sma[8]_iqr1-3,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,iqr1-3,Output of inter-quartile range 1-3 (quartile3-quartile1),['sma'],['Smoothing']
mfcc_sma[8]_percentile1.0,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,percentile1.0,"Output of first percentile, duplicate entries are not checked for and not removed",['sma'],['Smoothing']
mfcc_sma[8]_percentile99.0,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,percentile99.0,"Output of ninety-ninth percentile, duplicate entries are not checked for and not removed",['sma'],['Smoothing']
mfcc_sma[8]_pctlrange0-1,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,pctlrange0-1,Output of inter percentile range from 0-1,['sma'],['Smoothing']
mfcc_sma[8]_stddev,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,stddev,Output of standard deviation,['sma'],['Smoothing']
mfcc_sma[8]_skewness,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,skewness,Output of skewness,['sma'],['Smoothing']
mfcc_sma[8]_kurtosis,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,kurtosis,Output of kurtosis,['sma'],['Smoothing']
mfcc_sma[8]_meanSegLen,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,meanSegLen,"Output of the mean segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
mfcc_sma[8]_maxSegLen,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,maxSegLen,"Output of the maximum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
mfcc_sma[8]_minSegLen,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,minSegLen,"Output of the minimum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
mfcc_sma[8]_segLenStddev,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,segLenStddev,"Output of the standard deviation of the segment lengths (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
mfcc_sma[8]_upleveltime25,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,upleveltime25,Compute time where signal is above 0.25*range,['sma'],['Smoothing']
mfcc_sma[8]_upleveltime50,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,upleveltime50,Compute time where signal is above 0.50*range,['sma'],['Smoothing']
mfcc_sma[8]_upleveltime75,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,upleveltime75,Compute time where signal is above 0.75*range,['sma'],['Smoothing']
mfcc_sma[8]_upleveltime90,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,upleveltime90,Compute time where signal is above 0.90*range,['sma'],['Smoothing']
mfcc_sma[8]_risetime,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,risetime,Compute time where signal is rising,['sma'],['Smoothing']
mfcc_sma[8]_leftctime,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,leftctime,Compute time where signal has left curvature,['sma'],['Smoothing']
mfcc_sma[8]_lpgain,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,lpgain,Output of LP gain,['sma'],['Smoothing']
mfcc_sma[8]_lpc0,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,lpc0,Output of LP coefficient 0,['sma'],['Smoothing']
mfcc_sma[8]_lpc1,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,lpc1,Output of LP coefficient 1,['sma'],['Smoothing']
mfcc_sma[8]_lpc2,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,lpc2,Output of LP coefficient 2,['sma'],['Smoothing']
mfcc_sma[8]_lpc3,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,lpc3,Output of LP coefficient 3,['sma'],['Smoothing']
mfcc_sma[8]_lpc4,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,lpc4,Output of LP coefficient 4,['sma'],['Smoothing']
mfcc_sma_de[8]_range,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,range,Output of range (max-min),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_maxPos,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,maxPos,"Output of position of maximum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_minPos,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,minPos,"Output of position of minimum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_quartile1,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,quartile1,Output of quartile1 (0.25),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_quartile2,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,quartile2,Output of quartile2 (0.50),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_quartile3,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,quartile3,Output of quartile3 (0.75),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_iqr1-2,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,iqr1-2,Output of inter-quartile range 1-2 (quartile2-quartile1),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_iqr2-3,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,iqr2-3,Output of inter-quartile range 2-3 (quartile3-quartile2),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_iqr1-3,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,iqr1-3,Output of inter-quartile range 1-3 (quartile3-quartile1),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_percentile1.0,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,percentile1.0,"Output of first percentile, duplicate entries are not checked for and not removed","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_percentile99.0,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,percentile99.0,"Output of ninety-ninth percentile, duplicate entries are not checked for and not removed","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_pctlrange0-1,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,pctlrange0-1,Output of inter percentile range from 0-1,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_stddev,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,stddev,Output of standard deviation,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_skewness,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,skewness,Output of skewness,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_kurtosis,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,kurtosis,Output of kurtosis,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_meanSegLen,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,meanSegLen,"Output of the mean segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_maxSegLen,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,maxSegLen,"Output of the maximum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_minSegLen,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,minSegLen,"Output of the minimum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_segLenStddev,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,segLenStddev,"Output of the standard deviation of the segment lengths (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_upleveltime25,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,upleveltime25,Compute time where signal is above 0.25*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_upleveltime50,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,upleveltime50,Compute time where signal is above 0.50*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_upleveltime75,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,upleveltime75,Compute time where signal is above 0.75*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_upleveltime90,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,upleveltime90,Compute time where signal is above 0.90*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_risetime,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,risetime,Compute time where signal is rising,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_leftctime,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,leftctime,Compute time where signal has left curvature,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_lpgain,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,lpgain,Output of LP gain,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_lpc0,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,lpc0,Output of LP coefficient 0,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_lpc1,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,lpc1,Output of LP coefficient 1,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_lpc2,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,lpc2,Output of LP coefficient 2,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_lpc3,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,lpc3,Output of LP coefficient 3,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_lpc4,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,lpc4,Output of LP coefficient 4,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma[8]_amean,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,amean,Output of arithmetic mean,['sma'],['Smoothing']
mfcc_sma[8]_flatness,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,flatness,Output of contour flatness (ratio of geometric mean and absolute value arithmetic mean(absmean))),['sma'],['Smoothing']
mfcc_sma[8]_rqmean,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,rqmean,Output of square root of quadratic mean,['sma'],['Smoothing']
mfcc_sma[8]_meanPeakDist,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,meanPeakDist,"Output of mean distance between peaks (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
mfcc_sma[8]_peakDistStddev,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,peakDistStddev,Output of standard deviation of inter peak distances,['sma'],['Smoothing']
mfcc_sma[8]_peakRangeAbs,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,peakRangeAbs,Output of peak range (max peak value - min peak value),['sma'],['Smoothing']
mfcc_sma[8]_peakRangeRel,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,peakRangeRel,Output of peak range (max peak value - min peak value) / arithmetic mean,['sma'],['Smoothing']
mfcc_sma[8]_peakMeanAbs,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,peakMeanAbs,Output of arithmetic mean of peaks (local maxima),['sma'],['Smoothing']
mfcc_sma[8]_peakMeanMeanDist,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,peakMeanMeanDist,Output of arithmetic mean of peaks - arithmetic mean of all values (mean of peaks to signal mean distance),['sma'],['Smoothing']
mfcc_sma[8]_peakMeanRel,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,peakMeanRel,Output of arithmetic mean of peaks (local maxima) / arithmetic mean of all values (mean of peaks to signal mean ratio ~ peakMeanMeanRatio),['sma'],['Smoothing']
mfcc_sma[8]_minRangeRel,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,minRangeRel,Output of local minima range (max minimum value - min minimum value) / arithmetic mean,['sma'],['Smoothing']
mfcc_sma[8]_meanRisingSlope,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,meanRisingSlope,Output of the mean of the rising slopes (rising slope is the slope of the line connecting a local minimum (or the beginning of input sample) with the following local maximum/peak or the end of input sample),['sma'],['Smoothing']
mfcc_sma[8]_stddevRisingSlope,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,stddevRisingSlope,Output of the standard deviation of the rising slopes,['sma'],['Smoothing']
mfcc_sma[8]_meanFallingSlope,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,meanFallingSlope,Output of the mean of the falling slopes (falling slope is the slope of the line connecting a local maximum/peak (or the beginning of input sample) with the following local minimum (or the end of input sample)),['sma'],['Smoothing']
mfcc_sma[8]_stddevFallingSlope,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,stddevFallingSlope,Output of the standard deviation of the falling slopes,['sma'],['Smoothing']
mfcc_sma[8]_linregc1,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,linregc1,Output of slope m (linear regression line),['sma'],['Smoothing']
mfcc_sma[8]_linregc2,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,linregc2,Output of offset t (linear regression line),['sma'],['Smoothing']
mfcc_sma[8]_linregerrQ,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,linregerrQ,Output of quadratic error between contour and linear regression line,['sma'],['Smoothing']
mfcc_sma[8]_qregc1,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,qregc1,Output of quadratic regression coefficient 1 (a),['sma'],['Smoothing']
mfcc_sma[8]_qregc2,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,qregc2,Output of quadratic regression coefficient 2 (b),['sma'],['Smoothing']
mfcc_sma[8]_qregc3,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,qregc3,Output of quadratic regression coefficient 3 (c = offset),['sma'],['Smoothing']
mfcc_sma[8]_qregerrQ,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,qregerrQ,Output of quadratic error between contour and quadratic regression line (parabola),['sma'],['Smoothing']
mfcc_sma[8]_centroid,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,centroid,Output of centroid of contour (this is computed as a by-product of the regression coefficients).,['sma'],['Smoothing']
mfcc_sma_de[8]_flatness,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,flatness,Output of contour flatness (ratio of geometric mean and absolute value arithmetic mean(absmean))),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_posamean,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,posamean,Output of arithmetic mean of positive values only (usually you would apply this to a differential signal to measure how much the original signal is rising),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
mfcc_sma_de[8]_rqmean,mfcc_sma[8],Cepstral,Mel-Frequency cepstral coefficient 8,rqmean,Output of square root of quadratic mean,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
